,,,,,,,,,,,
Gerencia,Cadena,Plu,Nombre Plu,Subl,Sublinea,Subcat,Subcategoria,Marc,Marca,Clase Marca,Estrategia
Gran Consumo,Éxito,1570515,Cerveza Lata,95,LICORES Y CIGARRILLOS,410,CERVEZAS NACIONALES,1437,COSTENA,MARCA NACIONAL                                    ,Insuperables Marca Propia
Gran Consumo,Éxito,1602696,Cepillo Dental 3 Unidades,98,CUIDADO ORAL Y AFEITADA,1010,CEPILLO DENTAL ADULTOS,24674,AMPM PLUS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1603306,VINO LAMBRUSCO BLANCO,95,LICORES Y CIGARRILLOS,845,VINO ESPUMOSO Y CHAMPANA,29709,LA PIUMA MARCA EXCLUSIVA,MARCA EXCLUSIVA                                   ,Insuperables Marca Propia
Gran Consumo,Éxito,1603307,Vino Lambrusco Tinto,95,LICORES Y CIGARRILLOS,845,VINO ESPUMOSO Y CHAMPANA,29709,LA PIUMA MARCA EXCLUSIVA,MARCA EXCLUSIVA                                   ,Insuperables Marca Propia
Gran Consumo,Éxito,1652269,JABON AVENA CON GLICERINA 3UNS,406,CUIDADO CORPORAL,1221,JABON ANTIBACTERIALES/MEDICADO,24674,AMPM PLUS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1678676,Canela Molida,402,SALSAS Y CONDIMENTOS,5810,CONDIMENTOS NATURALES GRANO,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1678677,PIMIENTA MOLIDA,402,SALSAS Y CONDIMENTOS,5810,CONDIMENTOS NATURALES GRANO,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1678679,Ajo Molida,402,SALSAS Y CONDIMENTOS,5810,CONDIMENTOS NATURALES GRANO,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1705880,DETERGENTE EN POLVO FLORAL,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1705882,DETERGENTE EN POLVO FLORAL,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1705937,DETERGENTE EN POLVO LIMON,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1705986,DETERGENTE EN POLVO LIMON,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1737627,Crema Dental Tripleaccion,98,CUIDADO ORAL Y AFEITADA,750,CREMA DENTAL TRIPLE ACCION,24674,AMPM PLUS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1743103,Bebida de almendra sin azúcar,63,BEBIDAS LIQUIDAS NO ALCOHOLICA,8120,FRUTOS,50000,TAEQ,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1749646,COLOR,402,SALSAS Y CONDIMENTOS,5810,CONDIMENTOS NATURALES GRANO,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1749648,Comino Molido,402,SALSAS Y CONDIMENTOS,5810,CONDIMENTOS NATURALES GRANO,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1753280,Limpiapisos Desinfecta Lavanda,405,LIMPIADORES E IMPLEMENTOS ASEO,1910,LIMPIAPISOS AROMAT DESINFEC,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1753281,Limpiapisos Desinfect Citronel,405,LIMPIADORES E IMPLEMENTOS ASEO,1910,LIMPIAPISOS AROMAT DESINFEC,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1753282,Limpiapisos Con Bicarbonato,405,LIMPIADORES E IMPLEMENTOS ASEO,1928,LIMPIAPISOS EFICIENTES,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1757903,Limpiapisos Desinfect Lavanda,405,LIMPIADORES E IMPLEMENTOS ASEO,1910,LIMPIAPISOS AROMAT DESINFEC,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,1757904,Limpiapisos Desinfec Citronela,405,LIMPIADORES E IMPLEMENTOS ASEO,1910,LIMPIAPISOS AROMAT DESINFEC,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
