,,,PORTAFOLIO IMPRECIONANTES CICLO #2- 2026  1 ABRIL AL 31 MAYO 2026,,,,,,,,,,,,,
SUB,CATEGORIA,PROVEEDOR,MARCA,PLU,DESCRIPCION,CONTENIDO,CONTE,OBSERVACIONES,PRECIO PROMEDIO ACTUAL ,PVP ESTRATEGIA,AHORRO,PUM OFERTA,Codigos Pos,Estrategia con puntos,Codigos Pos con puntos,
93,GALLETAS SALADAS,NUTRESA,SALTIN NOEL,3266685,Galletas Mix,510 G,510,,"$12,000 ","$8,390 ","$3,610 ",$16.45 ,1521143,,,
93,ESPECIALIDADES,NUTRESA,DUX,532360,Galletas snacking rellenas queso,216 G,216,,"$9,630 ","$6,750 ","$2,880 ",$31.25 ,1521148,,,
90,AZUCAR,MANUELITA,MANUELITA,21986,AZUCAR ALTA PUREZA,1000 G,1000,,"$5,950 ","$3,950 ","$2,000 ",$3.95 ,1514365,,,
403,ACEITE,GOURMET,OLIVETTO,1101812,ACEITE CON OLIVA PARA FREIR,1000 ML,1000,"Aplicará con puntos los días 4, 18 Abril. 2, 16 y 30 Mayo","$39,500 ","$25,650 ","$13,850 ",$25.65 ,1513301, 400 ptos + $23.900,,
97,SUAVIZANTES ,GRADEZCO,DERSA,833751,SUAVIZANTE PRIMAVERAL ,4000 ML,4000,,"$29,200 ","$17,950 ","$11,250 ",$4.49 ,1499432,,,
83,LECHES LIQUIDAS,AURALAC,AURALAC,3829966,Leche Tetra Entera *900ml,900 ml,900,,"$4,600 ","$4,400 ",$200 ,$4.89 ,1520821,,,
83,LECHES LIQUIDAS,AURALAC,AURALAC,3829967,Leche Tetra Deslactosada *900ml,900 ml,900,,"$4,750 ","$4,400 ",$350 ,$4.89 ,1520821,,,
95,CERVEZAS,BAVARIA,POKER,3691043,Cerveza x 12 unids,3630 ML,3630,,"$34,350 ","$30,900 ","$3,450 ",$8.51 ,pdte,,,
90,ARROZ,DIANA,CASTELLANO,923594,ARROZ PREMIUM,2500 G,2500,Aplica solo deps cliente alto ver listado pestaña,"$29,650 ","$19,950 ","$9,700 ",$7.98 ,1514364,,,
97,SUAVIZANTES DE ROPA,UNILEVER,DOWNY,3354380, Suavizante Adorable,450 ML,450,,"$16,850 ","2X1           
  (Und a $8.425)","$16,850 ",$18.72 ,pdte,,,
