,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Info para aplicar SR,Info para negocio dctos pos,,
insuperables ciclo 2 ,,,,,,,,,,,,
Negociador,PROVEEDOR,SUB,CATEGORIA,SUBCATEGORIA,MARCA,PLU,DESCRIPCION PLU,Presentacion,PRECIO APLICAR SR, Dcto pos aplica el negocio ,Observación,
Cathe M,COLOMBIANA KIMBERLY COLPAPEL S,67,PANALES,PANALES PANTS,HUGGIES,3782516,Pañales Desechables Triple Protección 4XG,40 U,"$35,100 ",N.A,Aplica precio,
Alba,TECNOQUIMICAS SA,405,BLANQUEADORES,BLANQUEADOR CON FRAGANCIA,CLOROX,1712027,Blanqueador Magia Floral,1800 ML,"$8,690 ",25%,,
Cathe M,S.C.JOHNSON & SON COLOMBIANA S,404,INSECTICIDAS,INSECTICIDAS AEROSOL,RAID,1729809,Insecticida aerosol insectos voladores,400 ML,"$20,900 ",15%,,
Alba,BRINSA S.A.,405,LAVALOZA,LAVALOZA CREMAS/GEL,LOZA CREM,596962,Lavaloza Crema duo pack,900 G,"$12,650 ",15%,,
Vero Castañeda,BAYER.S.A,91,OTC,PUESTOS DE PAGO OTC,APRONAX,607313,Cápsulas liquid gel,8 U,"$19,350 ",20%,,
Alba,GRADEZCO LTDA,97,DETERGENTES,DETERGENTES LIQUIDOS,TOP,3749177,Detergente Liquido Ropa Color,3000 ML,"$40,950 ",30%,,
Alba,GRADEZCO LTDA,97,DETERGENTES,DETERGENTES CONVENCIONALES,TOP,3749175,Detergente Polvo cuidado y limpieza,4000 G,"$42,000 ",30%,,
Vero Castañeda,BAYER.S.A,91,OTC,PIEL,ACID MANTLE,743358,Loción todo tipo de piel + loción 120 ml,400 ML,"$62,700 ",25%,,
Camilo ,UNION DE ARROCEROS S.A.S,90,ARROZ,ARROZ BLANCO,SUPREMO,3759621,Arroz Selección Especial,2500 G,"$11,250 ",15%,,
Vane,GASEOSAS LUX S.A.S,92,BEBIDAS CALIENTES,CAFE,TOSTAO,3650270,Café intenso tostado y molido,454 G,"$28,000 ",15%,,
Camilo ,HARINERA DEL VALLE S.A.,403,ACEITES COMESTIBLES,ACEITES DE CANOLA,CANOLA LIFE,1767191,Aceite de canola,3000 ML,"$72,000 ",25%,,
Camilo ,HARINERA DEL VALLE S.A.,403,ACEITES COMESTIBLES,ACEITE GIRASOL,PREMIER,3452377,Aceite de girasol multiusos,1800 ML,"$40,150 ",20%,,
Camilo ,DIANA CORPORACION  S.A.S,90,ARROZ,ARROZ BLANCO PREMIUM,DIANA,3594363,Arroz Cosecha Especial,1000 G,"$10,800 ",25%,,
Camilo ,DIANA CORPORACION  S.A.S,90,FRIJOL,FRIJOL CARGAMANTO,DIANA,3533993,Frijol  Cargamanto Rojo,1000 G,"$16,200 ",15%,,
Johana,DIANA CORPORACION  S.A.S,83,ESPARCIBLES VEGETAL,MARGARINA O ESPARCIBLE COCINAR,GUSTOSITA,760158,Margarina esparcible barra,125 G,"$2,400 ",10%,,
Johana,HARINERA DEL VALLE S.A.,83,ESPARCIBLES VEGETAL,MARGARINA O ESPARCIBLE DE MESA,PREMIER,253306,Esparcible para mesa y cocina,500 G,"$12,950 ",20%,,
Johana,HARINERA DEL VALLE S.A.,83,ESPARCIBLES VEGETAL,MARGARINA O ESPARCIBLE COCINAR,PREMIER,253331,Esparcible barra para mesa y cocina,125 G,"$2,650 ",20%,,
Johana,HARINERA DEL VALLE S.A.,81,PANES BLANCOS Y TOSTADOS,TORTILLAS Y PAN ARABE,HAZ DE OROS,197559,Tortilla tradicional x6und,180 G,"$5,950 ",20%,,
Vane,COMERCIAL NUTRESA,92,BEBIDAS CALIENTES,CHOCOLATES,LA ESPECIAL,3810791,Chocolate Barra Tradicional,400 G,"$10,500 ",10%,,
Johana,HARINERA DEL VALLE S.A.,81,PANADERIA DULCE,BROWNIES,MAMA-IA,1243229,Brownie Chocolate,70 G,"$3,400 ",15%,,
Luis V,COMERCIALIZADORA BOGOTANA S.A.S,401,N.E, ARENAS Y TAPETES ,PETYS,3810407, Arena Gatos Agradable Fragancia,4500 GR,"$30,550 ",20%,,
Maria Camila,COMERCIAL NUTRESA S.A.S,94,COMIDAS PREPARADAS,FRIJOLES,ZENU,1341923,FRIJOL ANTIOQUENO,580 G,"$13,900 ",10%,,
Maria Camila,COMERCIAL NUTRESA S.A.S,94,VEGETALES EN CONSERVA,MAICES CONSERVA,ZENU,1743818,Maíz lata sin azúcar añadido,241 G,"$7,190 ",25%,,
Maria Camila,COMERCIAL NUTRESA S.A.S,407,CHOCOLATES,BARRA DE CHOCOLATE,JET,3479122,Chocolatina con leche x12und,132 G,"$12,000 ",10%,,
Luis V,MASTERFOODS COLOMBIA LTDA.,401,ALIMENTOS MASCOTAS,ALIMENTOS HUMEDO GATOS,WHISKAS,3530692,Alimento de gato Gato Castrado Carne,85 G,"$3,300 ",20%,,
Camilo ,MANUELITA S. A.,90,AZUCAR,AZUCAR MORENA,MANUELITA,935824,Azucar Morena,1000 G,"$5,700 ",20%,,
Camilo ,INGENIO PROVIDENCIA S.A.,90,AZUCAR,AZUCAR BLANCO ESPECIAL,PROVIDENCIA,35839,Azucar Blanca,1000 G,"$5,750 ",20%,,
Camilo ,INGENIO DEL CAUCA S.A.S,90,AZUCAR,AZUCAR LIGHT,INCAUCA LIFE,3349976,Azucar Life Blanca.,454 G,"$5,800 ",40%,,
Carla,PREBEL S.A.S. BIC,406,DESODORANTES MUJER,ROLL-ON MUJER,ELIZABETH ARDEN,3406340,Desodorante mujer Roll on Aclarado Efecto Natural x 2 unids,100 ML,"$27,250 ",15%,,
Carla,PREBEL S.A.S. BIC,406,DESODORANTES HOMBRE,ROLL-ON HOMBRE,ARDEN FOR MEN,3390206,Desodorante hombre Roll on  Platino x 2 unids,100 ML,"$26,500 ",15%,,
Carla,PREBEL S.A.S. BIC,406,PROTECCION SOLAR,BLOQUEADORES,NUDE,3421415,Protector solar sensación liviana FPS 80,120 ML,"$63,000 ",15%,,
Carla,BEIERSDORF S.A.,406,DESODORANTES HOMBRE,AEROSOL HOMBRE,NIVEA,53563,Desodorante black white men spray,150 ML,"$25,900 ",15%,,
Carla,BUITRAGO BUITRAGO CARLOS,406,JABONES DE TOCADOR,JABON LIQUIDOS,CAPIBELL,961472,JABON LIQUIDO MANOS Y CUERPO,3000 ML,"$28,900 ",20%,,
Carla,UNILEVER ANDINA COLOMBIA LTDA,96,BALSAMOS Y ACONDICIONADORES,BALSAMOS ACONDICIONADORES,SAVITAL,3726782,Acondicionador Elixir De Romero,490 ML,"$20,000 ",20%,,
Carla,UNILEVER ANDINA COLOMBIA LTDA,96,SHAMPOO,SHAMPOO 1 EN 1,SAVITAL,3726781,Shampoo Elixir De Romero,510 ML,"$20,500 ",20%,,
Carla,UNILEVER ANDINA COLOMBIA LTDA,96,TRATAMIENTO CAPILAR,TRATAMIENTOS CAPILARES,DOVE,3616947,Tatamiento capilar óleo intense repair,110 ML,"$46,000 ",15%,,
Carla,UNILEVER ANDINA COLOMBIA LTDA,96,SHAMPOO,SHAMPOO 1 EN 1,DOVE,3616945,Shampoo Intense Repair,350 ML,"$26,900 ",15%,,
Carla,UNILEVER ANDINA COLOMBIA LTDA,96,BALSAMOS Y ACONDICIONADORES,BALSAMOS ACONDICIONADORES,DOVE,3616948,Acondicionador ntense Repair,250 ML,"$26,600 ",15%,,
Carla,UNILEVER ANDINA COLOMBIA LTDA,96,BALSAMOS Y ACONDICIONADORES,CREMAS PARA PEINAR,EGO,3555714,Crema Peinar For Men,265 ML,"$17,600 ",15%,,
Carla,UNILEVER ANDINA COLOMBIA LTDA,406,JABONES DE TOCADOR,GELES DE DUCHA,DOVE BABY,1072335,Jabón líquido humectación sensible,400 ML,"$36,500 ",20%,,
Carla,UNILEVER ANDINA COLOMBIA LTDA,406,JABONES DE TOCADOR,GELES DE DUCHA,DOVE,1653390,Jabón líquido wash granada y té corporal,591 ML,"$39,900 ",20%,,
